Feature,Importance
AQI_Lag_14,0.030068949144454647
AQI_Lag_3,0.029295003614416556
PM10_Lag_7,0.02831842440300967
PM2.5_Lag_7,0.028313048595367818
Toluene_Lag_7,0.02791718888473696
NH3_Lag_1,0.027732822398128673
AQI_Lag_1,0.02757714651280729
O3_Lag_1,0.02726238422924859
AQI_Lag_2,0.026761263929402142
PM2.5_Lag_1,0.026687752287488826
NO_Lag_7,0.026667792184225155
Xylene_Lag_7,0.02661301390180486
NO_Lag_1,0.026425416781917958
PM10_Lag_1,0.025868737487590304
CO_Lag_7,0.025781777959741844
NO2_Lag_1,0.025674865021833006
O3_Lag_7,0.02553643231893559
NO2_Lag_7,0.025480001358765405
NH3_Lag_7,0.025374008334515506
NOx_Lag_7,0.0252613533906343
Benzene_Lag_7,0.02513088465433187
SO2_Lag_1,0.02499518378084515
AQI_Lag_30,0.02489523949713519
Toluene_Lag_1,0.024883570548468605
NOx_Lag_1,0.024873949454475564
AQI_Rolling_Std_7,0.024608361706827155
AQI_Lag_7,0.02453491345539196
CO_Lag_1,0.024331141187498205
Benzene_Lag_1,0.024326146606094126
SO2_Lag_7,0.024322871639555783
AQI_Rolling_Mean_30,0.0241666472106334
Xylene_Lag_1,0.02385252929118379
AQI_Rolling_Mean_7,0.022882515879569135
AQI_Rolling_Mean_14,0.02266855430656886
DayOfYear_Sin,0.02071849995260831
DayOfYear_Cos,0.020711700820292327
Day,0.019612951673033653
DayOfYear,0.019413816479987262
DayOfWeek,0.010230971265158243
Month,0.008651083117439997
Month_Sin,0.007869659063110863
Month_Cos,0.007498952244562542
Quarter,0.0038687651547719094
IsWeekend,0.002333708271430945
